id_experimento,grupo,metrica,valor,timestamp,arquivo_origem
exp_001,GC,valor_medio,129.48,2025-07-20T22:08:09.177473,experimento_teste.csv
exp_001,GC,usuarios_unicos,3.0,2025-07-20T22:08:09.177473,experimento_teste.csv
exp_001,G2,taxa_conversao,100.0,2025-07-20T22:08:09.178369,experimento_teste.csv
exp_001,G2,uso_medio,4.0,2025-07-20T22:08:09.178369,experimento_teste.csv
exp_001,G2,valor_medio,95.11,2025-07-20T22:08:09.178369,experimento_teste.csv
exp_001,G2,usuarios_unicos,1.0,2025-07-20T22:08:09.178369,experimento_teste.csv
exp_001,G1,lift_taxa_conversao,49.99,2025-07-20T22:08:09.179776,experimento_teste.csv
exp_001,G2,lift_taxa_conversao,49.99,2025-07-20T22:08:09.179776,experimento_teste.csv
exp_001,G1,lift_uso_medio,200.43,2025-07-20T22:08:09.179776,experimento_teste.csv
exp_001,G2,lift_uso_medio,71.67,2025-07-20T22:08:09.179776,experimento_teste.csv
exp_001,G1,lift_valor_medio,-87.34,2025-07-20T22:08:09.179776,experimento_teste.csv
exp_001,G2,lift_valor_medio,-26.54,2025-07-20T22:08:09.179776,experimento_teste.csv
exp_001,G1,lift_usuarios_unicos,-66.67,2025-07-20T22:08:09.179776,experimento_teste.csv
exp_001,G2,lift_usuarios_unicos,-66.67,2025-07-20T22:08:09.179776,experimento_teste.csv
exp_004,GC,taxa_conversao,100.0,2025-07-20T22:08:09.187745,experimento_teste.csv
exp_004,GC,uso_medio,4.33,2025-07-20T22:08:09.187745,experimento_teste.csv
exp_004,GC,valor_medio,91.54,2025-07-20T22:08:09.187745,experimento_teste.csv
exp_004,GC,usuarios_unicos,3.0,2025-07-20T22:08:09.187745,experimento_teste.csv
exp_004,G2,taxa_conversao,100.0,2025-07-20T22:08:09.188531,experimento_teste.csv
exp_004,G2,uso_medio,3.0,2025-07-20T22:08:09.188531,experimento_teste.csv
exp_004,G2,valor_medio,70.99,2025-07-20T22:08:09.188531,experimento_teste.csv
exp_004,G2,usuarios_unicos,1.0,2025-07-20T22:08:09.188531,experimento_teste.csv
exp_004,G2,lift_taxa_conversao,0.0,2025-07-20T22:08:09.189746,experimento_teste.csv
exp_004,G2,lift_uso_medio,-30.72,2025-07-20T22:08:09.189746,experimento_teste.csv
exp_004,G2,lift_valor_medio,-22.45,2025-07-20T22:08:09.189746,experimento_teste.csv
exp_004,G2,lift_usuarios_unicos,-66.67,2025-07-20T22:08:09.189746,experimento_teste.csv
exp_002,GC,taxa_conversao,100.0,2025-07-20T22:08:09.194256,experimento_teste.csv
exp_002,GC,uso_medio,2.5,2025-07-20T22:08:09.194256,experimento_teste.csv
exp_002,GC,valor_medio,39.27,2025-07-20T22:08:09.194256,experimento_teste.csv
exp_002,GC,usuarios_unicos,2.0,2025-07-20T22:08:09.194256,experimento_teste.csv
exp_002,G2,taxa_conversao,100.0,2025-07-20T22:08:09.195022,experimento_teste.csv
exp_002,G2,uso_medio,4.5,2025-07-20T22:08:09.195022,experimento_teste.csv
exp_002,G2,valor_medio,140.52,2025-07-20T22:08:09.195022,experimento_teste.csv
exp_002,G2,usuarios_unicos,2.0,2025-07-20T22:08:09.195022,experimento_teste.csv
exp_002,G1,taxa_conversao,100.0,2025-07-20T22:08:09.195785,experimento_teste.csv
exp_002,G1,uso_medio,4.0,2025-07-20T22:08:09.195785,experimento_teste.csv
exp_002,G1,valor_medio,17.14,2025-07-20T22:08:09.195785,experimento_teste.csv
exp_002,G1,usuarios_unicos,1.0,2025-07-20T22:08:09.195785,experimento_teste.csv
exp_002,G2,lift_taxa_conversao,0.0,2025-07-20T22:08:09.196700,experimento_teste.csv
exp_002,G1,lift_taxa_conversao,0.0,2025-07-20T22:08:09.196700,experimento_teste.csv
exp_002,G2,lift_uso_medio,80.0,2025-07-20T22:08:09.196700,experimento_teste.csv
exp_002,G1,lift_uso_medio,60.0,2025-07-20T22:08:09.196700,experimento_teste.csv
exp_002,G2,lift_valor_medio,257.83,2025-07-20T22:08:09.196700,experimento_teste.csv
exp_002,G1,lift_valor_medio,-56.35,2025-07-20T22:08:09.196700,experimento_teste.csv
exp_002,G2,lift_usuarios_unicos,0.0,2025-07-20T22:08:09.196700,experimento_teste.csv
exp_002,G1,lift_usuarios_unicos,-50.0,2025-07-20T22:08:09.196700,experimento_teste.csv
exp_003,GC,taxa_conversao,100.0,2025-07-20T22:08:09.203649,experimento_teste.csv
exp_003,GC,uso_medio,4.0,2025-07-20T22:08:09.203649,experimento_teste.csv
exp_003,GC,valor_medio,196.97,2025-07-20T22:08:09.203649,experimento_teste.csv
exp_003,GC,usuarios_unicos,1.0,2025-07-20T22:08:09.203649,experimento_teste.csv
exp_003,G1,taxa_conversao,100.0,2025-07-20T22:08:09.204378,experimento_teste.csv
exp_003,G1,uso_medio,3.0,2025-07-20T22:08:09.204378,experimento_teste.csv
exp_003,G1,valor_medio,76.94,2025-07-20T22:08:09.204378,experimento_teste.csv
exp_003,G1,usuarios_unicos,1.0,2025-07-20T22:08:09.204378,experimento_teste.csv
exp_003,G1,lift_taxa_conversao,0.0,2025-07-20T22:08:09.205359,experimento_teste.csv
exp_003,G1,lift_uso_medio,-25.0,2025-07-20T22:08:09.205359,experimento_teste.csv
exp_003,G1,lift_valor_medio,-60.94,2025-07-20T22:08:09.205359,experimento_teste.csv
exp_003,G1,lift_usuarios_unicos,0.0,2025-07-20T22:08:09.205359,experimento_teste.csv
